sport,competition,primary_provider,dates_checked,upstream_fixtures,public_fixtures,fixture_recall,upstream_finished,public_finished,finished_with_result,finished_result_completeness,upstream_live,public_live,live_with_score,duplicates,mapping_failures,status,root_cause
"football","afc-champions-league","sportscore","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","0","","","0","0","","","0","0","0","0","NO_PUBLIC_EVENTS_IN_WINDOW",""
"football","africa-cup-of-nations","thesportsdb","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","0","","","0","0","","","0","0","0","0","NO_PUBLIC_EVENTS_IN_WINDOW",""
"football","albania-superliga","thesportsdb","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","5","","","3","3","1.0","","0","0","0","0","OK",""
"badminton","all-england-open","bbc-sport","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","0","","","0","0","","","0","0","0","0","NO_PUBLIC_EVENTS_IN_WINDOW",""
"football","argentina-primera","sportscore","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","1","","","0","0","","","0","0","0","0","OK",""
"tennis","atp-tour","sportscore","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","0","","","0","0","","","0","0","0","0","NO_PUBLIC_EVENTS_IN_WINDOW",""
"football","australia-a-league","thesportsdb","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","0","","","0","0","","","0","0","0","0","NO_PUBLIC_EVENTS_IN_WINDOW",""
"football","australia-a-league-women","thesportsdb","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","0","","","0","0","","","0","0","0","0","NO_PUBLIC_EVENTS_IN_WINDOW",""
"australian-rules","australia-afl","squiggle","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","2","","","2","2","1.0","","0","0","0","0","OK",""
"football","austria-bundesliga","sportscore","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","4","","","2","2","1.0","","0","0","0","0","OK",""
"football","belgium-pro-league","thesportsdb","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","2","","","1","1","1.0","","0","0","0","0","OK",""
"horse-racing","bha-meetings","bbc-sport","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","1","","","1","0","0.0","","0","0","0","0","OK",""
"winter-sports","biathlon","ibu-web","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","0","","","0","0","","","0","0","0","0","NO_PUBLIC_EVENTS_IN_WINDOW",""
"football","bosnia-premier-liga","thesportsdb","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","3","","","1","1","1.0","","0","0","0","0","OK",""
"futsal","brazil-lnf","lnf-web","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","0","","","0","0","","","0","0","0","0","NO_PUBLIC_EVENTS_IN_WINDOW",""
"football","brazil-serie-a","openfootball","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","12","","","5","5","1.0","","0","0","0","0","OK",""
"football","bulgaria-first-league","thesportsdb","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","4","","","1","1","1.0","","0","0","0","0","OK",""
"football","caf-champions-league","sportscore","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","0","","","0","0","","","0","0","0","0","NO_PUBLIC_EVENTS_IN_WINDOW",""
"harness-racing","canada-standardbred-meetings","standardbred-canada-web","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","1","","","1","1","1.0","","0","0","0","0","OK",""
"call-of-duty","cdl-majors","liquipedia","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","0","","","0","0","","","0","0","0","0","NO_PUBLIC_EVENTS_IN_WINDOW",""
"volleyball","cev-eurovolley-men","thesportsdb","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","15","","","12","12","1.0","","0","0","0","0","OK",""
"american-football","cfl","thesportsdb","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","1","","","0","0","","","0","0","0","0","OK",""
"ice-hockey","champions-hockey-league","openligadb","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","0","","","0","0","","","0","0","0","0","NO_PUBLIC_EVENTS_IN_WINDOW",""
"football","chile-primera","thesportsdb","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","0","","","0","0","","","0","0","0","0","NO_PUBLIC_EVENTS_IN_WINDOW",""
"football","china-super-league","thesportsdb","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","1","","","1","1","1.0","","0","0","0","0","OK",""
"football","colombia-primera-a","dimayor-web","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","4","","","1","1","1.0","","0","0","0","0","OK",""
"ea-sports-fc","competitive-ea-fc","liquipedia","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","0","","","0","0","","","0","0","0","0","NO_PUBLIC_EVENTS_IN_WINDOW",""
"football","concacaf-champions-cup","sportscore","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","0","","","0","0","","","0","0","0","0","NO_PUBLIC_EVENTS_IN_WINDOW",""
"football","copa-libertadores","bbc-sport","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","0","","","0","0","","","0","0","0","0","NO_PUBLIC_EVENTS_IN_WINDOW",""
"football","copa-sudamericana","thesportsdb","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","1","","","1","1","1.0","","0","0","0","0","OK",""
"football","costa-rica-liga-fpd","thesportsdb","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","3","","","2","2","1.0","","0","0","0","0","OK",""
"baseball","cpbl","thesportsdb","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","3","","","1","1","1.0","","0","0","0","0","OK",""
"football","croatia-hnl","hnl-web","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","4","","","2","2","1.0","","0","0","0","0","OK",""
"football","czech-first-league","thesportsdb","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","2","","","0","0","","","0","0","0","0","OK",""
"handball","denmark-handball-league","thesportsdb","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","2","","","1","1","1.0","","0","0","0","0","OK",""
"football","denmark-superliga","thesportsdb","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","3","","","1","1","1.0","","0","0","0","0","OK",""
"football","ecuador-serie-a","thesportsdb","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","3","","","1","1","1.0","","0","0","0","0","OK",""
"football","egypt-premier-league","thesportsdb","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","1","","","1","1","1.0","","0","0","0","0","OK",""
"handball","ehf-champions-league","thesportsdb","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","1","","","1","1","1.0","","0","0","0","0","OK",""
"handball","ehf-competitions","sofascore-web","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","0","","","0","0","","","0","0","0","0","NO_PUBLIC_EVENTS_IN_WINDOW",""
"football","england-championship","openfootball","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","12","","","2","2","1.0","","0","0","0","0","OK",""
"football","england-league-one","openfootball","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","1","","","1","1","1.0","","0","0","0","0","OK",""
"football","england-league-two","openfootball","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","0","","","0","0","","","0","0","0","0","NO_PUBLIC_EVENTS_IN_WINDOW",""
"football","england-premier-league","openfootball","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","5","","","4","4","1.0","","0","0","0","0","OK",""
"table-tennis","ettu-events","ettu-news-results","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","0","","","0","0","","","0","0","0","0","NO_PUBLIC_EVENTS_IN_WINDOW",""
"basketball","euroleague","euroleague-live","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","0","","","0","0","","","0","0","0","0","NO_PUBLIC_EVENTS_IN_WINDOW",""
"golf","european-challenge-tour","thesportsdb","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","0","","","0","0","","","0","0","0","0","NO_PUBLIC_EVENTS_IN_WINDOW",""
"football","fa-cup","thesportsdb","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","3","","","1","1","1.0","","0","0","0","0","OK",""
"football","fifa-connected-competitions","fifa-digital","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","0","","","0","0","","","0","0","0","0","NO_PUBLIC_EVENTS_IN_WINDOW",""
"futsal","fifa-futsal-when-listed","wikipedia-fifa-futsal-web","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","0","","","0","0","","","0","0","0","0","NO_PUBLIC_EVENTS_IN_WINDOW",""
"field-hockey","fih-eurohockey","altiusrt-html","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","0","","","0","0","","","0","0","0","0","NO_PUBLIC_EVENTS_IN_WINDOW",""
"ice-hockey","finland-liiga","eliteprospects","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","2","","","1","1","1.0","","0","0","0","0","OK",""
"football","finland-veikkausliiga","thesportsdb","2026-09-18|2026-09-19|2026-09-20|2026-09-21|2026-09-22|2026-09-23","","2","","","1","1","1.0","","0","0","0","0","OK",""
